Date,Campaign,Impressions,Clicks,Spend,Visits
2024-01-01,Summer Sale 2024,20795,998,1594.79,847
2024-01-01,Black Friday,11265,182,106.86,166
2024-01-01,Holiday Special,49131,772,1139.73,551
2024-01-01,New Product Launch,7433,128,99.21,99
2024-01-01,Brand Awareness,33693,346,184.97,287
2024-01-01,Retargeting Campaign,23942,373,349.95,295
2024-01-02,Summer Sale 2024,5189,70,99.93,55
2024-01-02,Black Friday,6267,211,120.2,179
2024-01-02,Holiday Special,35740,1001,520.42,936
2024-01-02,New Product Launch,48021,2033,1945.42,1472
2024-01-02,Brand Awareness,28483,423,525.69,299
2024-01-02,Retargeting Campaign,19541,501,387.45,445
2024-01-03,Summer Sale 2024,6021,185,244.21,138
2024-01-03,Black Friday,11873,332,362.78,309
2024-01-03,Holiday Special,37606,1762,1114.89,1319
2024-01-03,New Product Launch,6016,291,514.14,258
2024-01-03,Brand Awareness,22262,960,993.72,739
2024-01-03,Retargeting Campaign,13571,285,269.16,211
2024-01-04,Summer Sale 2024,45774,1232,1345.74,952
2024-01-04,Black Friday,10258,184,288.33,165
2024-01-04,Holiday Special,17666,228,236.6,166
2024-01-04,New Product Launch,27662,1217,1428.97,880
2024-01-04,Brand Awareness,40222,1478,2215.35,1253
2024-01-04,Retargeting Campaign,15965,726,877.24,529
2024-01-05,Summer Sale 2024,18773,825,1305.64,626
2024-01-05,Black Friday,30446,353,552.8,256
2024-01-05,Holiday Special,28419,406,222.14,348
2024-01-05,New Product Launch,46523,1513,2334.97,1111
2024-01-05,Brand Awareness,11374,300,490.0,227
2024-01-05,Retargeting Campaign,21198,457,339.02,426
2024-01-06,Summer Sale 2024,47557,1680,3036.08,1513
2024-01-06,Black Friday,8627,229,417.91,178
2024-01-06,Holiday Special,15230,698,681.95,507
2024-01-06,New Product Launch,6306,170,293.59,155
2024-01-06,Brand Awareness,45294,751,977.15,616
2024-01-06,Retargeting Campaign,36968,546,549.51,510
2024-01-07,Summer Sale 2024,33021,619,827.7,495
2024-01-07,Black Friday,44353,2151,1887.88,1773
2024-01-07,Holiday Special,28664,456,910.45,349
2024-01-07,New Product Launch,33673,1013,584.72,779
2024-01-07,Brand Awareness,12392,438,666.22,364
2024-01-07,Retargeting Campaign,43559,1398,1941.89,1006
2024-01-08,Summer Sale 2024,49215,959,1527.04,759
2024-01-08,Black Friday,45545,1609,2097.59,1162
2024-01-08,Holiday Special,30184,483,609.69,422
2024-01-08,New Product Launch,31370,1055,1599.75,742
2024-01-08,Brand Awareness,39754,1684,1722.73,1219
2024-01-08,Retargeting Campaign,13680,514,555.17,480
2024-01-09,Summer Sale 2024,42504,1573,2521.24,1183
2024-01-09,Black Friday,26918,1213,1075.82,1049
2024-01-09,Holiday Special,36065,1777,2265.59,1359
2024-01-09,New Product Launch,36616,502,926.6,464
